Sample,
blk1,
blk2,
blk3,
blk4,
blk5,
SL std mix1,
SL std mix2,
blk6,
M136-samblk1,
M137-samblk2,
blk7,
M125-137 QC Cerebellum1,
M125-137 QC Cerebellum2,
M125-137 QC Cerebellum3,
blk8,
M125-Cerebellum 1460,3.9
M126-Cerebellum 1461,3.9
M127-Cerebellum 1462,4.3
blk9,
M128-Cerebellum 1463,4.1
M129- Cerebellum 1464,3.9
M130- Cerebellum 1972,4.9
blk10,
M131- Cerebellum 1973,4.3
M132- Cerebellum 1974,5.6
M133- Cerebellum 1975,3.9
blk11,
M134- Cerebellum1981,4.5
M135-Cerebellum 1982,4.4
blk12,
M125-137 QC Cerebellum4,
M125-137 QC Cerebellum5,
